APARTAMENTO;Valor_Total;Area_Total;Area_Privativa;N_Quartos;N_Suites;N_Garagens;Padrao;Elevador;Idade;E_UTM;N_UTM
ITA_01;577000,00 ;130;94;3;1;2;medio;sim;novo; 746793,99 ; 6946481,69
ITA_02;480000,00 ;133;90;2;1;2;medio;sim;usado; 747101,33 ; 6946154,47
ITA_03;650000,00 ;170;139;2;1;2;medio;sim;novo; 746974,30 ; 6946489,16
ITA_04;450000,00 ;142;70;2;1;2;medio;sim;novo; 746034,27 ; 6947175,26
ITA_05;440000,00 ;141;68;2;1;2;medio;sim;usado; 745787,38 ; 6947269,11
ITA_06;815277,00 ;241;115;3;3;2;alto;sim;novo; 747638,76 ; 6945422,22
ITA_07;436422,00 ;145;65;2;1;2;medio;sim;novo; 747134,93 ; 6945984,03
ITA_08;881910,00 ;180;128;4;1;2;alto;sim;novo; 747551,37 ; 6945497,21
ITA_09;498000,00 ;125;74;2;1;2;medio;sim;novo; 746052,77 ; 6947262,24
ITA_10;430000,00 ;86;75;3;1;1;medio;sim;usado; 747086,18 ; 6946308,77
ITA_11;1280000,00 ;301;168;4;1;3;alto;sim;novo; 745967,26 ; 6947058,43
ITA_12;560000,00 ;205;146;3;2;1;medio;sim;usado; 747090,93 ; 6946204,44
ITA_13;660000,00 ;145;103;3;1;2;medio;sim;usado; 746748,42 ; 6945558,17
ITA_14;510600,00 ;156;65;2;1;2;medio;sim;novo; 747098,26 ; 6946054,38
ITA_15;657000,00 ;129;94;3;1;2;medio;sim;novo; 745738,55 ; 6946941,98
ITA_16;697000,00 ;176;88;3;1;2;medio;sim;novo; 747186,20 ; 6946034,02
ITA_17;570000,00 ;93;70;2;1;2;medio;sim;novo; 746087,89 ; 6947196,89
ITA_18;728030,00 ;219;105;3;1;2;medio;sim;novo; 747334,04 ; 6945979,07
ITA_19;490000,00 ;86;74;2;1;1;medio;sim;novo; 747192,47 ; 6946004,96
ITA_20;410000,00 ;84;74;3;1;2;medio;sim;usado; 746886,71 ; 6946438,53
ITA_21;690000,00 ;286;194;3;1;3;medio;sim;usado; 747327,76 ; 6945906,58
ITA_22;499500,00 ;86;72;3;1;2;medio;sim;usado; 747201,35 ; 6946270,43
ITA_23;230000,00 ;53;38;1;1;1;medio;sim;usado; 746860,38 ; 6946370,69
ITA_24;339200,00 ;70;49;1;1;1;medio;sim;usado; 746602,24 ; 6946518,35
ITA_25;1490000,00 ;345;253;3;3;2;alto;sim;usado; 746693,40 ; 6946652,75
ITA_26;490000,00 ;113;96;2;1;2;medio;sim;novo; 746578,52 ; 6946544,13
ITA_27;780000,00 ;217;89;3;1;4;medio;sim;usado; 745686,65 ; 6946962,76
ITA_28;470000,00 ;166;151;3;1;1;baixo;não;usado; 746738,62 ; 6946268,02
ITA_29;440000,00 ;105;85;3;1;1;medio;sim;usado; 746623,17 ; 6946495,37
ITA_30;390000,00 ;110;70;2;1;1;medio;sim;usado; 747105,53 ; 6946123,74
ITA_31;365000,00 ;90;73;2;1;1;medio;sim;usado; 747341,58 ; 6945898,45
ITA_32;595000,00 ;168;144;2;1;2;medio;sim;usado; 746604,63 ; 6946534,98
ITA_33;635000,00 ;138;116;3;1;1;medio;sim;usado; 746782,26 ; 6945741,05
ITA_34;1350000,00 ;225;180;4;2;3;alto;sim;novo; 746088,63 ; 6947240,81
ITA_35;470000,00 ;187;77;2;2;2;medio;sim;novo; 746679,24 ; 6946483,60
ITA_36;415000,00 ;90;69;2;1;2;medio;sim;novo; 746679,24 ; 6946483,60
ITA_37;450000,00 ;100;80;2;1;2;medio;sim;novo; 747334,04 ; 6945979,07
ITA_38;450000,00 ;95;80;2;1;1;medio;sim;usado; 746256,76 ; 6947092,72
ITA_39;385000,00 ;78;78;2;1;1;medio;sim;usado; 747008,72 ; 6946273,27
ITA_40;380000,00 ;75;75;2;1;1;medio;sim;usado; 747090,93 ; 6946204,44
ITA_41;350000,00 ;102;69;2;1;1;medio;sim;usado; 747050,00 ; 6946095,00
ITA_42;575000,00 ;118;93;3;1;2;medio;sim;usado; 746623,17 ; 6946495,37
ITA_43;760000,00 ;143;120;3;1;2;alto;sim;novo; 747551,37 ; 6945497,21
ITA_44;1050000,00 ;190;161;3;1;2;medio;sim;usado; 747008,72 ; 6946273,27
ITA_46;259767,00 ;70;65,28;2;1;2;medio;sim;novo; 747216,58 ; 6946221,57
ITA_47;900000,00 ;193;116;4;1;2;alto;sim;novo; 746649,00 ; 6945667,00
ITA_48;1380000,00 ;301;165;4;2;3;alto;sim;novo; 745967,26 ; 6947058,43
ITA_49;806388,00 ;207;122;4;1;2;alto;sim;novo; 746088,63 ; 6947240,81
ITA_50;1487000,00 ;207;167;3;3;3;alto;sim;novo; 746088,63 ; 6947240,81
ITA_51;864007,00 ;250;231;4;3;2;alto;sim;novo; 747089,00 ; 6946095,00
ITA_52;1050000,00 ;180;166;3;3;2;alto;sim;novo; 747089,00 ; 6946095,00
ITA_53;935422,00 ;246;122;4;2;3;alto;sim;novo; 745967,26 ; 6947058,43
ITA_54;270000,00 ;64;50;1;0;1;medio;sim;usado; 746379,00 ; 6946819,00
ITA_55;290000,00 ;67;51;1;0;1;medio;sim;usado; 745856,59 ; 6947419,63
ITA_56;230000,00 ;52;43;1;0;1;medio;sim;usado; 746860,38 ; 6946370,69
ITA_57;210000,00 ;71;45;1;0;1;baixo;não;usado; 746948,55 ; 6946080,71
ITA_58;350000,00 ;60;48;1;1;1;medio;sim;novo; 746034,27 ; 6947175,26
ITA_59;288000,00 ;80;56;2;0;1;baixo;não;usado; 746948,55 ; 6946080,71
ITA_60;247000,00 ;65;53;2;0;1;baixo;não;usado; 746727,45 ; 6946406,36
ITA_61;300000,00 ;78;66;2;0;1;baixo;não;usado; 746731,76 ; 6946211,55
ITA_62;255000,00 ;65;52;2;0;1;baixo;não;usado; 745803,31 ; 6946794,75
ITA_63;255000,00 ;66;58;3;0;1;baixo;não;usado; 746738,62 ; 6946268,02
ITA_45;600000,00 ;168;144;2;1;2;medio;sim;usado; 746955,38 ; 6946347,81
