Obs;CRD_E;CRD_N;VT;TIPO;AREA_T;ATER;GRG;ID3;P_2;P_3;P_4
1;735733;6945673;107000;Apartame;114;0;1;0;1;0;0
2;735691;6945781;60000;Apartame;57;0;0;0;0;1;0
3;735698;6945843;68000;Apartame;61,7;0;1;0;0;1;0
4;735698;6945843;68000;Apartame;70;0;1;0;0;1;0
5;735616;6945463;70000;Apartame;85;0;1;0;0;1;0
6;735570;6945254;150000;Apartame;110;0;1;0;0;1;0
7;735570;6945254;55000;Apartame;65;0;1;0;0;1;0
8;735568;6945286;42000;Apartame;75;0;1;0;0;1;0
9;735568;6945286;30000;Kitinete;35;0;0;0;0;1;0
10;735535;6945081;150000;Apartame;135;0;1;0;0;1;0
11;735535;6945117;100000;Apartame;80;0;1;0;0;1;0
12;735554;6945041;179500;Apartame;140,69;0;1;0;1;0;0
13;735514;6944984;60000;Apartame;80;0;1;0;0;1;0
14;735514;6944984;60000;Apartame;80;0;1;0;0;1;0
15;735514;6944984;50000;Apartame;80;0;1;0;0;1;0
16;735514;6944984;38000;Apartame;40;0;0;0;0;1;0
17;735514;6944984;38000;Apartame;50;0;0;0;0;1;0
18;735433;6944967;195000;Apartame;148;0;1;0;1;0;0
19;735476;6944980;155000;Apartame;148;0;1;0;1;0;0
20;735482;6945009;195000;Apartame;194;0;1;0;1;0;0
21;735439;6945002;186000;Apartame;194;0;1;0;1;0;0
22;735439;6945002;145000;Apartame;148;0;1;0;1;0;0
23;735511;6945186;60000;Comercia;40;0;0;0;0;1;0
24;735417;6945508;60000;Apartame;48;0;0;0;0;1;0
25;735625;6945690;60000;Apartame;60,23;0;1;0;0;1;0
26;735609;6945628;62000;Apartame;70;0;1;0;0;1;0
27;735645;6945777;50000;Apartame;66,34;0;0;0;0;1;0
28;735657;6945916;50000;Apartame;74;0;0;0;0;1;0
29;735709;6946051;80000;Apartame;85;0;1;0;0;1;0
30;735603;6945994;80000;Apartame;110;0;1;0;0;1;0
31;735645;6946113;65000;Apartame;81;0;1;0;0;1;0
32;735645;6946113;50000;Apartame;81,04;0;1;0;0;1;0
33;735636;6946014;35200;Kitinete;40;0;0;0;0;1;0
34;735518;6945522;65000;Apartame;90;0;1;0;0;1;0
35;735431;6945286;43000;Apartame;50;0;0;0;1;0;0
36;735441;6945294;38000;Kitinete;40;0;0;0;0;1;0
37;735431;6945078;53000;Apartame;55;0;1;0;0;1;0
38;735418;6944735;57000;Apartame;60;0;0;0;0;1;0
39;735328;6944723;800000;terreno;748,14;0;0;0;0;0;0
40;735382;6945155;116000;Apartame;124,43;0;1;1;1;0;0
41;735382;6945155;127000;Apartame;124,43;0;1;1;1;0;0
42;735382;6945155;116000;Apartame;124,43;0;1;1;1;0;0
43;735382;6945155;126000;Apartame;124,43;0;1;1;1;0;0
44;735382;6945324;149940;Apartame;126;0;1;0;1;0;0
45;735340;6945511;60000;Apartame;83,44;0;1;0;0;1;0
46;735255;6945544;59500;Apartame;73,16;0;1;0;0;1;0
47;735267;6945552;188000;Apartame;156;0;1;1;1;0;0
48;735267;6945552;225000;Apartame;193;0;1;1;1;0;0
49;735255;6945544;200000;Apartame;156,51;0;1;1;1;0;0
50;735506;6945859;34000;Apartame;48,7;0;0;0;1;0;0
51;735557;6945928;165000;Apartame;157;0;1;1;1;0;0
52;735564;6945982;130000;Apartame;137;0;1;1;1;0;0
53;735556;6945954;137000;Apartame;137;0;1;1;1;0;0
54;735527;6945934;190000;Apartame;140;0;1;1;1;0;0
55;735197;6945421;35000;Kitinete;35;0;0;0;0;1;0
56;735197;6945421;35000;Kitinete;37;0;0;0;0;1;0
57;735197;6945421;35000;Kitinete;35;0;0;0;0;1;0
